RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
CHRISTIAN,0.0,,14.0,2.0,2-3 times a month,6.0,,1.0,PROTESTANT,Strong,Associate/junior college,43.0,1.0,1.0,5.0,6.0,
CATHOLIC,3.0,21.0,10.0,1.0,About once or twice a year,6.0,16.0,2.0,CATHOLIC,Strong,High school,74.0,2.0,1.0,4.0,,
NONE,2.0,35.0,16.0,1.0,About once or twice a year,5.0,25.0,2.0,CATHOLIC,No religion,Bachelor's,42.0,1.0,1.0,1.0,5.0,40.0
PROTESTANT,2.0,32.0,16.0,1.0,Nearly every week,6.0,26.0,1.0,CATHOLIC,Strong,Bachelor's,63.0,2.0,1.0,1.0,4.0,40.0
CATHOLIC,0.0,,18.0,2.0,Several times a week,6.0,26.0,1.0,CATHOLIC,Strong,Graduate,71.0,1.0,2.0,3.0,7.0,
CATHOLIC,2.0,27.0,16.0,3.0,About once a month,5.0,,2.0,CATHOLIC,Not very strong,Bachelor's,67.0,2.0,1.0,2.0,3.0,
PROTESTANT,6.0,18.0,13.0,2.0,Every week,2.0,12.0,2.0,PROTESTANT,Strong,High school,59.0,2.0,2.0,3.0,4.0,35.0
CATHOLIC,0.0,,12.0,2.0,Every week,6.0,19.0,1.0,CATHOLIC,Strong,High school,43.0,1.0,1.0,5.0,5.0,89.0
NONE,4.0,17.0,8.0,3.0,Never,5.0,5.0,1.0,PROTESTANT,No religion,Less than high school,62.0,2.0,1.0,2.0,4.0,40.0
PROTESTANT,2.0,30.0,12.0,2.0,About once or twice a year,5.0,22.0,2.0,PROTESTANT,Not very strong,High school,55.0,1.0,1.0,1.0,,40.0
CATHOLIC,2.0,30.0,19.0,2.0,About once a month,5.0,25.0,1.0,CATHOLIC,Not very strong,Graduate,59.0,1.0,1.0,3.0,6.0,40.0
PROTESTANT,3.0,20.0,14.0,2.0,2-3 times a month,6.0,13.0,2.0,PROTESTANT,Somewhat strong (vol.),High school,34.0,2.0,3.0,4.0,4.0,20.0
CATHOLIC,2.0,20.0,13.0,3.0,Never,6.0,14.0,1.0,CATHOLIC,Not very strong,High school,61.0,2.0,1.0,3.0,4.0,
CATHOLIC,2.0,34.0,16.0,1.0,Several times a year,6.0,23.0,2.0,PROTESTANT,Not very strong,Bachelor's,44.0,1.0,2.0,1.0,3.0,40.0
NONE,2.0,19.0,12.0,2.0,Never,6.0,2.0,2.0,CATHOLIC,No religion,High school,41.0,2.0,2.0,5.0,2.0,
CATHOLIC,4.0,20.0,12.0,2.0,Every week,6.0,20.0,2.0,CATHOLIC,Strong,High school,75.0,2.0,1.0,2.0,5.0,19.0
NONE,0.0,,16.0,3.0,Less than once a year,3.0,22.0,1.0,CATHOLIC,No religion,Bachelor's,55.0,2.0,1.0,1.0,2.0,
MUSLIM/ISLAM,2.0,26.0,16.0,1.0,Never,6.0,,2.0,MUSLIM/ISLAM,Somewhat strong (vol.),Bachelor's,30.0,2.0,1.0,1.0,6.0,
PROTESTANT,2.0,32.0,20.0,2.0,About once a month,5.0,21.0,2.0,PROTESTANT,Not very strong,Graduate,40.0,2.0,1.0,3.0,2.0,40.0
CATHOLIC,0.0,,18.0,3.0,2-3 times a month,6.0,,2.0,CATHOLIC,Strong,Graduate,30.0,1.0,1.0,5.0,4.0,40.0
ORTHODOX-CHRISTIAN,1.0,31.0,15.0,1.0,About once or twice a year,5.0,23.0,2.0,ORTHODOX-CHRISTIAN,Not very strong,High school,34.0,2.0,1.0,1.0,6.0,42.0
PROTESTANT,0.0,,14.0,2.0,Every week,6.0,,2.0,PROTESTANT,Strong,Associate/junior college,29.0,2.0,3.0,5.0,6.0,
CATHOLIC,1.0,35.0,14.0,2.0,Less than once a year,5.0,22.0,2.0,CATHOLIC,Not very strong,Associate/junior college,40.0,2.0,1.0,1.0,4.0,32.0
BUDDHISM,0.0,,12.0,1.0,Never,3.0,20.0,1.0,NONE,Not very strong,High school,37.0,1.0,1.0,5.0,1.0,50.0
PROTESTANT,3.0,27.0,16.0,1.0,Nearly every week,6.0,21.0,1.0,PROTESTANT,Strong,Bachelor's,56.0,2.0,1.0,1.0,6.0,15.0
CATHOLIC,2.0,31.0,8.0,1.0,About once or twice a year,5.0,16.0,1.0,CATHOLIC,Not very strong,Less than high school,82.0,1.0,1.0,2.0,4.0,
CATHOLIC,3.0,22.0,12.0,2.0,2-3 times a month,6.0,17.0,1.0,CATHOLIC,Not very strong,High school,68.0,2.0,1.0,3.0,4.0,33.0
PROTESTANT,5.0,15.0,9.0,3.0,Nearly every week,6.0,9.0,2.0,PROTESTANT,Strong,Less than high school,42.0,2.0,2.0,5.0,4.0,
CATHOLIC,3.0,21.0,12.0,3.0,Several times a year,6.0,19.0,2.0,CATHOLIC,Strong,High school,40.0,2.0,1.0,3.0,7.0,
CATHOLIC,0.0,,14.0,2.0,Less than once a year,6.0,23.0,2.0,CATHOLIC,Not very strong,High school,20.0,1.0,1.0,5.0,2.0,40.0
CATHOLIC,2.0,25.0,12.0,2.0,About once or twice a year,6.0,,1.0,CATHOLIC,Not very strong,High school,74.0,2.0,1.0,1.0,7.0,
CATHOLIC,7.0,25.0,8.0,3.0,Several times a week,6.0,16.0,1.0,CATHOLIC,Strong,Less than high school,89.0,1.0,1.0,1.0,4.0,
PROTESTANT,2.0,28.0,16.0,2.0,Several times a year,6.0,,1.0,PROTESTANT,Not very strong,Bachelor's,60.0,2.0,1.0,1.0,4.0,
NONE,0.0,,16.0,2.0,Never,1.0,23.0,1.0,CATHOLIC,No religion,Bachelor's,56.0,2.0,1.0,3.0,1.0,46.0
PROTESTANT,3.0,19.0,10.0,1.0,Every week,6.0,,1.0,CATHOLIC,Somewhat strong (vol.),Less than high school,55.0,2.0,1.0,3.0,6.0,16.0
JEWISH,5.0,26.0,18.0,1.0,Several times a year,6.0,24.0,1.0,JEWISH,Strong,Graduate,65.0,1.0,1.0,1.0,7.0,40.0
JEWISH,1.0,20.0,20.0,2.0,Nearly every week,5.0,22.0,1.0,JEWISH,Strong,Graduate,71.0,2.0,1.0,2.0,4.0,20.0
NONE,0.0,,20.0,3.0,Never,1.0,18.0,1.0,CATHOLIC,No religion,Graduate,34.0,1.0,1.0,5.0,1.0,45.0
PROTESTANT,1.0,33.0,19.0,2.0,Every week,6.0,20.0,1.0,PROTESTANT,Strong,Graduate,45.0,1.0,1.0,1.0,5.0,50.0
NONE,2.0,30.0,12.0,2.0,About once or twice a year,6.0,10.0,1.0,CATHOLIC,No religion,High school,65.0,2.0,1.0,3.0,3.0,30.0
CATHOLIC,0.0,,12.0,2.0,Never,5.0,17.0,1.0,CATHOLIC,Strong,High school,52.0,1.0,1.0,5.0,4.0,40.0
CATHOLIC,1.0,26.0,12.0,1.0,About once or twice a year,5.0,18.0,1.0,CATHOLIC,Not very strong,High school,62.0,2.0,1.0,2.0,4.0,
OTHER,0.0,,18.0,2.0,About once or twice a year,3.0,,1.0,OTHER,Not very strong,Graduate,60.0,1.0,3.0,1.0,4.0,
